kalimat,predicted_label
pake logika ya lu bandingin aja ngerenggut nyawa manusia lu blg hamas kejam oke fair lantas nyawa tumpah israel g lu jadiin tolak ukur,NEGATIVE
sih lo nggak mikir kalo israel nggak jajah ga tuh nama hamas nyerang kalo lo bandingin ratus ribu serang israel serang hamas ga nya coyyy setdah buzzer gimana sih,NEGATIVE
israel cuman nunggu serang hamas biar alas jalanin rencana bantai massal palestinian krna gk make sense mengatasnamakan self defense serang bantai anak salah babi buta,NEGATIVE
cape banget mikir gin israel bilang bela negara hamas bilang teroris banyak wawas yuk mba biar paham bela negara,NEGATIVE
hamas fatah israel don t give a damn hamas tu alas sahaja orang nak bom konon nak selamat gaz people from hamas nak selamat lori bantu manusia tu masuk rafah susah nak lepas rafah tu,NEGATIVE
dukung hamas pura pura gatau bro tau israel salah trus wkwk,NEGATIVE
hamas tenaga medis ngga senjata mengakat tanganya jg tembak tentara israel klo bodoh jgn liat bgt,NEGATIVE
detik sen israel kalo hubung lumayan ganti iphone bela israel kejam hamas luar batas peri manusia dunia buta,NEGATIVE
centang biru salah israel salah hamas,NEGATIVE
organisasi hamas rumah rumah sakit yaelah israel mah tukang bohong kek amerika aja percaya,NEGATIVE
hamas asal anak yatim piatu ortunya bantai israel,NEGATIVE
konteks nya nduk bahas organisasi hamas cap teroris israel situ konteks nya lebar tampil salah contoh,NEGATIVE
hamas beneran ter ris israel tetep salah dtangkap ya laku dunia maju hati nurani kosong hati nurani kosong virus dok sebar indo wkwkwk virus hnk,NEGATIVE
yaudah nyett diri aja israel moga spam blunder ya pimpin biar hamas enak attack nya,NEGATIVE
kau israel nak two state solutions nahhh they just want palestinians land if they want two state solutions bina tembok pergi ambil rumah orang palestin janji oslo hamas pimpin gaza mesti aman nahh totally bs,NEGATIVE
takut sih israel klo perang ketemu langsung hamas cuman ngandalin bom doang,NEGATIVE
imajinasi liar fakta nyata orang alami langsung sana sisi israel palestina hamas dapat dasar,POSITIVE
orang western msh percaya israel rang hamas agama tuh genocide sisi,NEGATIVE
bela hamas israel membuhun warga sipil,NEGATIVE
trus israel bela hamas palak lu yang woi lu liat ada perang nih ada rakyat happy belah mati trus tonton layak film otak pendek uang,POSITIVE
singkir hamas zionis biar rakyat israel palestina sejati bicara damai sbg manusia hamas zionis manusia mrk monster haus darah mrk manfaat scr untung rakyat bangsa korban,POSITIVE
owesifazana upheka isinkwa ngamaphepha ngenxa yokusilela kwamafutha asetshenziswa ukupheka ezindlini egaza kulempi eyesabekayo phakathi kwele israel lehamas israel hamas war,NEGATIVE
yup piagam hamas tulis dg gamblang musnah israel syarat piagam inspirasi kitab fiksi,POSITIVE
depan ga kek oktober wkwkwk ga percaya si gua tuju israel kuasa tanah palestina basmi hamas hamas duluan israel udh bom bunuh,NEGATIVE
data knp hamas teroris dasar klo nyebut negara tsb afiliasi israel barat krn penting ya akn sudut hamas jdi jgn tendensi,NEGATIVE
klo hamas ga sembunyi embargo senjata biar adil perang israel hamas ga senjata lucu hamas sembunyi gampang bom pesawat israel gitu perang gerilya ga jg sembunyi,NEGATIVE
emang hamas bukti skrg tepi barat gak hamas skrg serang tuh bodoh tuju israel emang habis warga palestin,NEGATIVE
islami ya mulut tuh budak gurun sorak ya hamas bantai warga israel jadi,NEGATIVE
berita hamas israel kalo bawa twitter nyalahin hamas karna nyerang duluan nyalahin hamas ya guna masif twitter lahir mana kpopers fanatik baca,NEGATIVE
ko ni mslh paham counter blk tuduh ko hamas bunuh bayi sbb statement ko mintak bukti konon hamas bunuh bayi x its ok utk bunuh kanak sbb israel dh bom bunuh ribu kanak palestin dlm perang kali ni ko rilek tenang,NEGATIVE
berita info sumber israel akses hamas blokade total adil wartawan liput hamas intimidasi info arah media israel,NEGATIVE
nak tau hamas ni ekstremis sbb lawan israel kompaun palestin tebing barat gaza bom hospital amp sekolah cut off api amp air anak muda xde jiwa pahlawan ownership of the country sapa nak jaga negara elok please be mindful,NEGATIVE
netanyahu ulas video tahan wanita rejim israel terbit al qassam propaganda psikologi kejam gera hamas sumber al jazeera kreditasi hadis palestin israelcuak taufanalaqsa,NEGATIVE
todaysheadline israel tank gaza serang hamas kali jam via gmy,NEGATIVE
warga sipil layak serang say tau idf serang palestina beutal hamas bela orang bunuh warga sipil sya bela israel hamas suruh milih bela hak warga sipil bunuh,NEGATIVE
presiden joko widodo ambil tindak kait situasi perang hamas israel gaza kecam keras tindak keras perintah indonesia peran aktif pbb wujud damai israel amp hamas ballondor yahudi tidur jatinangor,POSITIVE
kena bunuh tu idf pulak hamas bunuh budak kau propa sebijik cam israel,NEGATIVE
sdh terkonformasi tdk bukti hamas panggil kepala bayi hoax propaganda israel,NEGATIVE
israel hamas bilang gitu,NEGATIVE
duta israel pbb pakai bintang kuning era nazi pidato dewan aman pbb bayi bayi yahudi bakar auschwitz dunia diam bayi bayi yahudi bakar bari mukim selatan nazi hamas dunia,NEGATIVE
